match_id,player1,player2,elapsed_time,p1_momentum,p2_momentum
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:00:00,1.0,0.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:00:25,2.0,-1.8
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:01:19,1.0,-0.7
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:02:17,0.0,1.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:03:02,2.0,-0.7
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:03:38,-1.0,1.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:04:05,-4.0,3.5
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:04:41,-5.0,4.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:06:03,-7.0,8.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:06:43,-8.0,8.3
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:08:02,-5.9,5.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:08:28,-4.8,5.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:09:22,-3.8,6.1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:10:25,-4.8,6.1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:10:57,-1.7999999999999998,3.1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:11:29,0.19999999999999996,0.09999999999999998
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:12:45,1.2,0.19999999999999996
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:13:23,-0.8999999999999999,2.3
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:14:24,-4.0,5.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:15:30,-4.0,4.4
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:17:03,-0.9,2.3
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:18:02,-2.9,5.3
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:19:49,-5.9,7.3
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:20:15,-3.8,5.2
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:20:38,-0.7,3.1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:21:15,-0.7,1.0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:21:55,-0.7,2.0
