match_id,player1,player2,p1_momentum,p2_momentum,p1_turning_points,p2_turning_points
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.0,0.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.0,-1.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.0,-0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.0,1.4,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.0,-0.7,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.0,1.4,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,3.5,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-5.0,4.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-7.0,8.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-8.0,8.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-5.9,5.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.8,5.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.8,6.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.8,6.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,3.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.19999999999999996,0.09999999999999998,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.2,0.19999999999999996,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.8999999999999999,2.3,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,5.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,4.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.9,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.9,5.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-5.9,7.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.8,5.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,3.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,2.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.8,5.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.8,5.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.19999999999999996,3.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.9000000000000004,5.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-6.0,8.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.9000000000000004,7.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7999999999999998,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,3.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,3.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7000000000000002,3.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.4,1.1,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.4,-0.9,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.2999999999999998,1.2,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,3.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7999999999999998,4.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.3,-1.6,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,0.40000000000000036,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.8,0.40000000000000036,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7,-1.7000000000000002,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.3999999999999999,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.4,-6.9,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.4,-6.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-2.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-1.7999999999999998,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.2,0.30000000000000004,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.1,0.30000000000000004,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.0,-0.7000000000000002,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.0,2.4,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.0,1.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.0,-2.7,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.0,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.1,-5.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.2,-5.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.2,-1.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.3,-4.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.3,-1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7000000000000002,2.0,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7000000000000002,3.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,3.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.9,3.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.9,2.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-6.0,4.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.0,2.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.0,1.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-5.0,4.5,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-8.0,7.5,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.9000000000000004,5.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7999999999999998,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-1.7000000000000002,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,2.2,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,1.1,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.4,-2.0,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.4,-1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.4,-1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.4,-1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-1.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,7.3,-3.0,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,7.3,-2.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.2,0.19999999999999996,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.2,-0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.1,1.4,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.1,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.2,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.3,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5.4,1.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.4,1.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,8.4,-0.7999999999999998,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,8.4,-1.7999999999999998,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5.3,0.30000000000000004,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.2,2.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.9000000000000004,5.4,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.9000000000000004,5.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7999999999999998,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7000000000000002,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.4,0.19999999999999996,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.4,-2.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.4,-3.9,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,5.4,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.19999999999999996,-1.7,1,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.10000000000000009,-1.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,0.3999999999999999,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-6.0,3.5,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-6.0,4.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.9,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.8,2.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.7,0.19999999999999996,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.6000000000000001,0.19999999999999996,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,1.4,1.2,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.4,-2.9,0,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.4,-2.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,2.2,-1.7000000000000002,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0.09999999999999998,0.3999999999999999,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-4.0,2.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-6.0,5.5,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-3.9,3.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-2.8,4.4,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.8,1.3,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,-0.8,0.30000000000000004,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.3,-1.7,1,1
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.4,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,6.4,-3.8,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,4.3,-0.7,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.3,-1.7000000000000002,0,0
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,3.4,-1.7000000000000002,0,0
