match_id,player1,player2,elapsed_time,p1_momentum,p2_momentum
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:00:00,0.08,0.24
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:00:25,0.15000000000000002,0.1451
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:01:19,0.08,0.27
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:02:17,0.009999999999999995,0.5149
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:03:02,0.15000000000000002,0.3851
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:03:38,-0.09000000000000001,0.5149
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:04:05,-0.31000000000000005,0.6447
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:04:41,-0.41000000000000003,1.5247
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:06:03,-0.55,1.7445
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:06:43,-0.6500000000000001,1.6245
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:08:02,-0.39000000000000007,1.3747
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:08:28,-0.19000000000000006,1.3747
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:09:22,-0.09000000000000004,1.4747
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:10:25,-0.19000000000000006,1.4747
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:10:57,0.049999999999999975,1.3749
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:11:29,0.19,1.2451
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:12:45,0.29,1.3651
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:13:23,0.029999999999999985,1.4949
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:14:24,-0.31000000000000005,1.7447
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:15:30,-0.31000000000000005,1.5247
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:17:03,0.04999999999999999,1.3949
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:18:02,-0.09000000000000002,1.4947
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,00:19:49,-0.33000000000000007,1.5045
